keys,en
ARC_ANGLE_1_CTRL_HINT_TOOLTIP,Start angle of the arc.
ARC_ANGLE_2_CTRL_HINT_TOOLTIP,"End angle of the arc. If angle2 and angle1 are the same,\na closed ellipse is the result, which is the default."
ARC_MAKE_WIRE_CTRL_HINT_TOOLTIP,Convert the resulting edge to a wire.
ARC_ROTATION_ANGLE_CTRL_HINT_TOOLTIP,Angle to rotate the created ellipse/arc by.
ARC_SENSE_CTRL_HINT_TOOLTIP,Clockwise (-1) or counter clockwise (1).
ARC_START_AT_CURRENT_CTRL_HINT_TOOLTIP,"If checked, the start point of arc is moved to current point.\nIf unchecked, the center of arc is on current point."
ARC_X_RADIUS_CTRL_HINT_TOOLTIP,X radius of the ellipse (along the x-axis of plane\nthe ellipse should lie in).
ARC_Y_RADIUS_CTRL_HINT_TOOLTIP,Y radius of the ellipse (along the y-axis of plane\nthe ellipse should lie in).
BOX_LENGTH_CTRL_HINT_TOOLTIP,Box size in X direction.
BOX_WIDTH_CTRL_HINT_TOOLTIP,Box size in Y direction.
BOX_HEIGHT_CTRL_HINT_TOOLTIP,Box size in Z direction.
BLIND_CUT_DISTANCE_CTRL_HINT_TOOLTIP,"Distance to extrude before cutting (> 0.0 means in the positive direction of the\nworkplane normal, < 0.0 means in the negative direction)."
CBORE_CBORE_DIA_CTRL_HINT_TOOLTIP,Diameter of the counter-bore hole. This diameter\nshould be larger than that of the main hole.
CBORE_CBORE_DEPTH_CTRL_HINT_TOOLTIP,Depth of the counter-bore hole. This depth should be\nless than that of the main hole.
CEN_X_CTRL_HINT_TOOLTIP,"If checked, will be centered around the X axis reference point.\nIf unchecked, the corner will be on the reference point and it\nwill extend in the positive x direction."
CEN_Y_CTRL_HINT_TOOLTIP,"If checked, will be centered around the Y axis reference point.\nIf unchecked, the corner will be on the reference point and it\nwill extend in the positive y direction."
CEN_Z_CTRL_HINT_TOOLTIP,"If checked, will be centered around the Z axis reference point.\nIf unchecked, the corner will be on the reference point and it\nwill extend in the positive z direction."
CENTER_X_COORD_CTRL_HINT_TOOLTIP,"Shift local X coordinate to the specified location. Used to adjust the\ncenter point after it has been created automatically on a face, but is\nnot where it needs to be."
CENTER_Y_COORD_CTRL_HINT_TOOLTIP,"Shift local Y coordinate to the specified location. Used to adjust the\ncenter point after it has been created automatically on a face, but is\nnot where it needs to be."
CHAMFER_LENGTH_CTRL_HINT_TOOLTIP,Length of the chamfer. Must be > 0.
CHAMFER_ASYM_LENGTH_CTRL_HINT_TOOLTIP,Can be set to > 0 for an asymmetrical chamfer.
COMBINE_CTRL_HINT_TOOLTIP,Whether this should be combined with other solids on the stack.
CORNER_KIND_CTRL_HINT_TOOLTIP,"Use 'arc' for rounded corners, and 'intersection' for sharp corners."
CLEAN_CTRL_HINT_TOOLTIP,"Whether to clean the resulting geometry. If the CAD kernel\nis yielding invalid results, try disabling this."
CSINK_ANGLE_CTRL_HINT_TOOLTIP,Angle of the countersink in degrees (82 is common).
CSINK_DIA_CTRL_HINT_TOOLTIP,Largest diameter of the counter-sink. This diameter\nshould be larger than that of the main hole.
